nivel_label,nivel_num,descripcion_oficial,orden_ordinal,canal_inicio_estimado,canal_fin_estimado,requiere_presencial_estimado,nota_semantica
Nivel 1,1.0,Información del trámite o servicio público a través de medios electrónicos (Inscrito en el Registro de Trámites y Servicios).,1,Presencial/Mixto (sin solicitud en línea),Presencial/Mixto,Sí,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 2,2.0,"Posibilidad de descargar formatos, en su caso.",2,Presencial/Mixto (sin solicitud en línea),Presencial/Mixto,Sí,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.1,3.1,Que el trámite o servicio pueda recibir solicitudes por medios electrónicos con los correspondientes acuses de recepción de datos y documentos.,3,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.2,3.2,Notificación electrónica de información faltante.,4,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.3,3.3,Notificación electrónica de plazos de prevención.,5,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.4,3.4,Notificación electrónica de vencimiento de plazo de respuesta.,6,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.5,3.5,Que el trámite o servicio pueda mostrar a los ciudadanos el estatus en el que se encuentra (atendido/en revisión/rechazado) por medios electrónicos.,7,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.6,3.6,Que el trámite o servicio presente intercambio de información con otras dependencias de manera electrónica.,8,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.7,3.7,Pago de derechos en línea.,9,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.8,3.8,Agendar citas en línea.,10,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 3.9,3.9,"Llenar formatos en línea, en su caso.",11,En línea,Presencial/Mixto,Mixto,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 4.1,4.1,Emitir resoluciones oficiales en línea.,12,En línea,En línea,No necesariamente,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 4.2,4.2,Firma electrónica para solicitudes y resoluciones del trámite o servicio.,13,En línea,En línea,No necesariamente,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
Nivel 4.3,4.3,Resolución en línea inmediata.,14,En línea,En línea inmediata,No necesariamente,Canales estimados a partir de la definición oficial; validar con regla operativa institucional.
