nivel_order,nivel_cat,n,med_tiempo,med_log_tiempo,med_conteo,med_formatos,med_burden
1.0,Nivel 1,262,1440.0,7.273092595999522,1.0,0.0,-0.3988604525019854
2.0,Nivel 2,70,1440.0,7.273092595999522,2.0,1.0,0.1609449427159314
3.0,Nivel 3.1,14,1440.0,7.273092595999522,1.5,0.5,-0.1645552887797471
4.0,Nivel 3.2,3,15.0,2.772588722239781,3.0,1.0,0.40435402768711465
7.0,Nivel 3.5,41,21600.0,9.980494888896912,2.0,1.0,0.16531088404806474
9.0,Nivel 3.7,24,330.0,5.687182150685794,2.0,0.0,-0.523171837611171
10.0,Nivel 3.8,1,70.0,4.2626798770413155,2.0,0.0,-0.6620172519995107
11.0,Nivel 3.9,10,1440.0,7.273092595999522,2.5,0.0,-0.4898513678065845
12.0,Nivel 4.1,18,3600.0,7.9659794728659525,3.0,1.0,0.460625130819323
13.0,Nivel 4.2,6,2160.0,7.619492665542025,1.0,0.0,-0.9265042283878547
14.0,Nivel 4.3,7,2880.0,7.9658927350845286,2.0,0.0,-0.6375504527446473
